# Absorption coefficients
# HITRAN. Molecule CO2. Isotopologue(s): 636.
# Wavenumber range: 2200-2500 cm-1, T: 296 K, P: 1 atm, step: 0.01002 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

 2202.706620    1.0454749938E-04    4.2166929969E-24
 2202.716640    9.8844353015E-05    3.9866691563E-24
 2202.726660    9.3309012889E-05    3.7634134105E-24
 2202.736680    8.8253489704E-05    3.5595100236E-24
 2202.746700    8.4028168793E-05    3.3890910160E-24
 2202.756720    8.0898294634E-05    3.2628544391E-24
 2202.766740    7.9019069308E-05    3.1870600268E-24
 2202.776760    7.8461100803E-05    3.1645555967E-24
 2202.786780    7.9247658660E-05    3.1962796746E-24
 2202.796800    8.1389600530E-05    3.2826701797E-24
 2202.806820    8.4871159447E-05    3.4230911863E-24
 2202.816840    8.9643074927E-05    3.6155558814E-24
 2202.826860    9.5580688776E-05    3.8550364513E-24
 2202.836880    1.0243843565E-04    4.1316285590E-24
 2202.846900    1.0983072390E-04    4.4297802154E-24
 2202.856920    1.1728737799E-04    4.7305279260E-24
 2202.866940    1.2437972718E-04    5.0165822011E-24
 2202.876960    1.3093601419E-04    5.2810155896E-24
 2202.886980    1.3689157773E-04    5.5212201208E-24
 2202.897000    1.4207589358E-04    5.7303180760E-24
 2202.907020    1.4586748615E-04    5.8832436067E-24
 2202.917040    1.4715832990E-04    5.9353069450E-24
 2202.927060    1.4480814397E-04    5.8405173745E-24
 2202.937080    1.3835659288E-04    5.5803082784E-24
 2202.947100    1.2840927897E-04    5.1791052928E-24
 2202.957120    1.1635276594E-04    4.6928324084E-24
 2202.967140    1.0370071512E-04    4.1825398198E-24
 2202.977160    9.1599435697E-05    3.6944613818E-24
 2202.987180    8.0691977848E-05    3.2545331062E-24
 2202.997200    7.1216348682E-05    2.8723544851E-24
 2203.007220    6.3163511503E-05    2.5475610435E-24
 2203.017240    5.6404978302E-05    2.2749705006E-24
 2203.027260    5.0771797706E-05    2.0477685750E-24
 2203.037280    4.6095565200E-05    1.8591630419E-24
 2203.047300    4.2226908071E-05    1.7031292819E-24
 2203.057320    3.9039066160E-05    1.5745547035E-24
 2203.067340    3.6431288551E-05    1.4693757403E-24
 2203.077360    3.4324396756E-05    1.3843989027E-24
 2203.087380    3.2658356966E-05    1.3172028592E-24
 2203.097400    3.1389141651E-05    1.2660118564E-24
 2203.107420    3.0485521260E-05    1.2295663193E-24
 2203.117440    2.9925520828E-05    1.2069799359E-24
 2203.127460    2.9691930351E-05    1.1975585788E-24
 2203.137480    2.9765954469E-05    1.2005441785E-24
 2203.147500    3.0118093963E-05    1.2147469490E-24
 2203.157520    3.0696294678E-05    1.2380674006E-24
 2203.167540    3.1414298210E-05    1.2670264908E-24
 2203.177560    3.2147575968E-05    1.2966016333E-24
 2203.187580    3.2749565537E-05    1.3208815560E-24
 2203.197600    3.3092865099E-05    1.3347277873E-24
 2203.207620    3.3122267586E-05    1.3359136718E-24
 2203.217640    3.2887271421E-05    1.3264356193E-24
 2203.227660    3.2520114158E-05    1.3116271402E-24
 2203.237680    3.2194982713E-05    1.2985136799E-24
 2203.247700    3.2068960164E-05    1.2934308381E-24
 2203.257720    3.2251114575E-05    1.3007776348E-24
 2203.267740    3.2869820885E-05    1.3257317904E-24
 2203.277760    3.3718401822E-05    1.3599574325E-24
 2203.287780    3.4754213286E-05    1.4017346053E-24
 2203.297800    3.5751983487E-05    1.4419774676E-24
 2203.307820    3.6422882576E-05    1.4690367038E-24
 2203.317840    3.6505766583E-05    1.4723796476E-24
 2203.327860    3.5846801836E-05    1.4458017567E-24
 2203.337880    3.4610167065E-05    1.3959248184E-24
 2203.347900    3.3002298526E-05    1.3310749841E-24
 2203.357920    3.1303230498E-05    1.2625468194E-24
 2203.367940    2.9745523537E-05    1.1997201419E-24
 2203.377960    2.8474894628E-05    1.1484721249E-24
 2203.387980    2.7560449658E-05    1.1115900022E-24
 2203.398000    2.7015963994E-05    1.0896293728E-24
 2203.408020    2.6816957299E-05    1.0816028763E-24
 2203.418040    2.6909371546E-05    1.0853302013E-24
 2203.428060    2.7215229349E-05    1.0976663018E-24
 2203.438080    2.7643083647E-05    1.1149228621E-24
 2203.448100    2.8108124231E-05    1.1336792492E-24
 2203.458120    2.8550127454E-05    1.1515064751E-24
 2203.468140    2.8944306252E-05    1.1674048083E-24
 2203.478160    2.9279515492E-05    1.1809247343E-24
 2203.488180    2.9526682442E-05    1.1908936686E-24
 2203.498200    2.9616875832E-05    1.1945314202E-24
 2203.508220    2.9447399316E-05    1.1876959584E-24
 2203.518240    2.8919547769E-05    1.1664062295E-24
 2203.528260    2.8004868137E-05    1.1295146422E-24
 2203.538280    2.6727781381E-05    1.0780061622E-24
 2203.548300    2.5216585524E-05    1.0170554075E-24
 2203.558320    2.3616785944E-05    9.5253101690E-25
 2203.568340    2.2055265066E-05    8.8955051342E-25
 2203.578360    2.0618188097E-05    8.3158918073E-25
 2203.588380    1.9350412181E-05    7.8045623297E-25
 2203.598400    1.8266426705E-05    7.3673606756E-25
 2203.608420    1.7359133087E-05    7.0014237887E-25
 2203.618440    1.6622119039E-05    6.7041654140E-25
 2203.628460    1.6035725012E-05    6.4676563056E-25
 2203.638480    1.5583256229E-05    6.2851629928E-25
 2203.648500    1.5249064367E-05    6.1503740697E-25
 2203.658520    1.5048469397E-05    6.0694685094E-25
 2203.668540    1.4910223652E-05    6.0137101346E-25
 2203.678560    1.4852776527E-05    5.9905401025E-25
 2203.688580    1.4867168960E-05    5.9963449731E-25
 2203.698600    1.4946647535E-05    6.0284009051E-25
 2203.708620    1.5087041775E-05    6.0850258280E-25
 2203.718640    1.5287214665E-05    6.1657611518E-25
 2203.728660    1.5548118518E-05    6.2709909717E-25
 2203.738680    1.5873380904E-05    6.4021783872E-25
 2203.748700    1.6267217147E-05    6.5610235567E-25
 2203.758720    1.6733184640E-05    6.7489612765E-25
 2203.768740    1.7271901544E-05    6.9662408680E-25
 2203.778760    1.7881441358E-05    7.2120853198E-25
