x;GC790B;GC859C;GC727H;GC874C-1;GC874C-2;GC756B;GC801B
2353,506;1,04462;0,74841;0,38936;0,72924;0,51547;0,74988;0,47294
2354,024;1,05097;0,74902;0,3882;0,73365;0,51497;0,75212;0,4745
2355,185;1,06181;0,74989;0,38627;0,74371;0,51451;0,75715;0,47781
2355,276;1,06241;0,74992;0,38616;0,74453;0,51451;0,75754;0,47806
2356,911;1,067;0,74982;0,38517;0,76083;0,51545;0,76467;0,4823
2357,242;1,06699;0,74962;0,38522;0,76461;0,51593;0,76612;0,4831
2358,231;1,06619;0,74866;0,38593;0,77737;0,51895;0,7705;0,4854
2358,695;1,06557;0,74802;0,38659;0,78438;0,52125;0,77258;0,48644
2358,844;1,06537;0,74779;0,38685;0,7868;0,52192;0,77325;0,48676
2358,864;1,06534;0,74776;0,38689;0,78713;0,52201;0,77334;0,48681
2358,92;1,06526;0,74767;0,387;0,78808;0,52225;0,7736;0,48693
2358,996;1,06516;0,74755;0,38715;0,78937;0,52255;0,77394;0,48709
2360,057;1,06395;0,7456;0,38997;0,81005;0,52671;0,77884;0,48933
2360,712;1,06347;0,74422;0,39241;0,82534;0,52979;0,78197;0,49067
2360,844;1,06341;0,74392;0,39297;0,82874;0,53052;0,78262;0,49093
2361,317;1,0632;0,74283;0,39518;0,84248;0,53371;0,78498;0,49188
2361,646;1,06306;0,74203;0,39689;0,85277;0,53677;0,78668;0,49253
2361,709;1,06303;0,74187;0,39724;0,85463;0,53745;0,78701;0,49265
2362,772;1,06223;0,7407;0,40399;0,88499;0,55329;0,79294;0,49472
2362,902;1,0621;0,74058;0,40493;0,88872;0,5552;0,79372;0,49497
2363,251;1,0617;0,74028;0,40761;0,89898;0,55972;0,7959;0,49564
2364,069;1,06081;0,73975;0,41473;0,92519;0,56933;0,80154;0,49721
2364,454;1,06048;0,73959;0,41852;0,93867;0,57484;0,80449;0,49795
2364,585;1,0604;0,73956;0,41988;0,94334;0,57738;0,80554;0,49821
2364,933;1,06025;0,7395;0,42366;0,95587;0,58751;0,80842;0,49888
2365,031;1,06024;0,7395;0,42478;0,95945;0,59084;0,80925;0,49907
2365,323;1,06028;0,73953;0,42819;0,9702;0,59956;0,81178;0,49964
2365,38;1,06031;0,73954;0,42887;0,97231;0,60105;0,81228;0,49975
2365,524;1,06041;0,73957;0,43065;0,97777;0,60463;0,81356;0,50004
2365,966;1,06101;0,73975;0,43633;0,99513;0,61446;0,81759;0,50092
2367,124;1,06483;0,74061;0,45271;1,0439;0,63622;0,8288;0,50321
2367,234;1,06533;0,74072;0,45432;1,04805;0,63808;0,8299;0,50341
2367,307;1,06565;0,74079;0,4554;1,05077;0,63932;0,83065;0,50355
2367,473;1,06601;0,74097;0,45784;1,05672;0,64208;0,83234;0,50386
2367,84;1,06646;0,74139;0,46324;1,06911;0,64794;0,83611;0,50451
2368,232;1,06725;0,74188;0,46911;1,0816;0,65385;0,84022;0,50513
2368,342;1,06748;0,74231;0,47077;1,08498;0,65541;0,84138;0,50529
2368,717;1,06834;0,7438;0,47656;1,0964;0,66053;0,84539;0,50578
2369,349;1,06987;0,74655;0,48675;1,11616;0,6681;0,85217;0,50632
2369,571;1,07044;0,74759;0,49048;1,12352;0,67043;0,85451;0,50642
2370,001;1,0716;0,74978;0,49791;1,1379;0,67443;0,85886;0,50645
2370,129;1,07196;0,75047;0,50017;1,1421;0,67549;0,86009;0,50642
2370,567;1,07329;0,75304;0,50807;1,15577;0,67862;0,86408;0,50619
2370,955;1,07457;0,75565;0,51527;1,16517;0,68076;0,86727;0,50583
2370,985;1,07467;0,75586;0,51583;1,1657;0,68089;0,8675;0,50579
2371,314;1,07577;0,75844;0,52207;1,17007;0,68219;0,86989;0,50537
2372,119;1,07828;0,76623;0,53791;1,1753;0,68379;0,8746;0,50395
2372,443;1,0792;0,77002;0,54455;1,17557;0,6839;0,87603;0,50326
2372,834;1,08028;0,77516;0,55286;1,17516;0,68368;0,87743;0,50234
2373,171;1,08119;0,77939;0,56039;1,1744;0,6832;0,87834;0,50148
2373,254;1,08141;0,78044;0,56233;1,17417;0,68305;0,87853;0,50126
2373,319;1,08158;0,78125;0,56385;1,17399;0,68291;0,87867;0,50109
2374,658;1,08507;0,79807;0,60049;1,16824;0,67823;0,87974;0,49715
2374,833;1,08552;0,80026;0,60512;1,1672;0,67735;0,87968;0,49658
2374,86;1,08559;0,8006;0,60582;1,16702;0,6772;0,87967;0,49649
2375,621;1,08756;0,81015;0,62403;1,16086;0,67244;0,87898;0,4939
2376,073;1,08874;0,81583;0,63437;1,15568;0,66883;0,87829;0,49226
2376,394;1,08958;0,81977;0,64178;1,15138;0,66595;0,87768;0,49105
2376,71;1,09041;0,82367;0,64948;1,14674;0,66294;0,87698;0,48983
2377,384;1,09221;0,83194;0,67021;1,13537;0,65637;0,87519;0,48712
2377,512;1,09256;0,83352;0,67351;1,13292;0,65513;0,87481;0,48658
2377,523;1,09259;0,83365;0,67377;1,13272;0,65503;0,87477;0,48654
2377,891;1,0936;0,83827;0,68203;1,12518;0,65153;0,87358;0,48499
2378,026;1,09397;0,84001;0,68488;1,12219;0,65026;0,8731;0,48441
2378,361;1,09492;0,8443;0,69165;1,11432;0,64716;0,87185;0,48295
2378,52;1,09539;0,84634;0,69478;1,1103;0,64569;0,87121;0,48224
2379,305;1,09708;0,85641;0,70956;1,08836;0,63857;0,86758;0,47866
2379,311;1,09708;0,85649;0,70968;1,08817;0,63851;0,86755;0,47863
2379,662;1,09746;0,85936;0,71603;1,07746;0,63536;0,86557;0,47697
2380,091;1,09784;0,86291;0,72356;1,06389;0,63154;0,86268;0,4749
2380,599;1,09822;0,86715;0,73208;1,04733;0,62704;0,85831;0,47237
2380,838;1,09839;0,86915;0,73588;1,03948;0,62494;0,85582;0,47116
2381,621;1,09888;0,87545;0,74722;1,01385;0,61807;0,84644;0,46707
2382,038;1,0991;0,87853;0,75242;0,99981;0,61443;0,84171;0,4648
2382,224;1,09919;0,87982;0,75451;0,99327;0,61281;0,83977;0,46377
2382,628;1,09937;0,88239;0,75854;0,97867;0,6093;0,83578;0,46148
2383,07;1,09951;0,88476;0,76205;0,96387;0,60551;0,83166;0,4589
2383,342;1,09958;0,88595;0,76377;0,95587;0,60321;0,8292;0,45727
2383,608;1,09962;0,88693;0,76515;0,94892;0,60098;0,82684;0,45564
2384,432;1,09949;0,88903;0,76779;0,9306;0,59426;0,81965;0,45036
2385,44;1,09766;0,89063;0,7682;0,90728;0,58665;0,81091;0,44354
2385,51;1,09732;0,89075;0,76814;0,90531;0,58616;0,8103;0,44306
2385,535;1,09718;0,8908;0,76811;0,90456;0,58598;0,81008;0,44288
2385,945;1,09399;0,89153;0,7675;0,89054;0,58324;0,80646;0,44002
2385,989;1,09367;0,89161;0,76741;0,88884;0,58296;0,80606;0,43971
2386,135;1,09269;0,89181;0,76706;0,88299;0,58206;0,80475;0,43868
2386,923;1,08856;0,89161;0,76387;0,85466;0,57788;0,7975;0,43315
2387,244;1,08703;0,89079;0,76187;0,8465;0,57648;0,79444;0,43091
2387,49;1,08579;0,8899;0,76004;0,84104;0,5755;0,79205;0,4292
2387,981;1,08292;0,88759;0,7557;0,83127;0,57367;0,78718;0,42586
2388,066;1,08239;0,88714;0,75485;0,82966;0,57335;0,78632;0,42528
2388,68;1,07839;0,88354;0,74813;0,81843;0,57072;0,77998;0,42122
2388,971;1,07646;0,88169;0,74461;0,81311;0,56912;0,77689;0,41933
2389,122;1,07545;0,88071;0,74271;0,8103;0,56824;0,77526;0,41836
2389,963;1,06988;0,87496;0,73132;0,79408;0,5636;0,76595;0,413
2390,992;1,06326;0,8676;0,71561;0,7753;0,56002;0,75393;0,40652
2391,079;1,06272;0,86697;0,71419;0,77387;0,55984;0,75288;0,40598
2391,593;1,05955;0,86324;0,70548;0,76595;0,55905;0,74661;0,40274
2391,711;1,05884;0,86238;0,70343;0,76428;0,55894;0,74515;0,402
2392,891;1,05204;0,85366;0,68182;0,74956;0,55895;0,73003;0,39444
2393,247;1,05012;0,85097;0,67528;0,74565;0,55926;0,72529;0,39211
2393,55;1,04854;0,84866;0,66984;0,74247;0,55961;0,72119;0,39011
2393,881;1,04689;0,84612;0,6641;0,73912;0,56008;0,71667;0,38789
2395,149;1,04118;0,83607;0,64241;0,72714;0,56264;0,69925;0,37911
2395,36;1,04032;0,83434;0,63862;0,72525;0,56317;0,69639;0,37761
2395,91;1,03818;0,82975;0,62807;0,72046;0,56468;0,68911;0,37361
2396,26;1,0369;0,82676;0,6206;0,71755;0,56574;0,68463;0,37101
2397,53;1,03264;0,81553;0,59155;0,70803;0,57019;0,66911;0,36118
2397,948;1,03135;0,8117;0,58298;0,7053;0,57186;0,66409;0,35781
2397,955;1,03133;0,81164;0,58286;0,70526;0,57189;0,66401;0,35776
2399,458;1,02697;0,79738;0,55675;0,69716;0,57863;0,64514;0,34516
2399,545;1,02672;0,79653;0,5553;0,69677;0,57905;0,64397;0,34442
2399,6;1,02657;0,796;0,55439;0,69652;0,57931;0,64323;0,34394
2399,787;1,02604;0,79416;0,55125;0,69573;0,58021;0,64065;0,34234
2400,528;1,02399;0,78685;0,53826;0,69291;0,58382;0,62991;0,33596
