# Absorption coefficients
# CDSD 296K. Molecule CO2. Isotopologue(s): 626,636,628.
# Wavenumber range: 600-3000 cm-1, T: 296 K, P: 5 atm, step: 0.05007 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  617.913870    1.5735151545E+00    1.2692853243E-20
  617.963940    1.5736478066E+00    1.2693923288E-20
  618.014010    1.5735019022E+00    1.2692746342E-20
  618.064080    1.5730819099E+00    1.2689358449E-20
  618.114150    1.5723929252E+00    1.2683800713E-20
  618.164220    1.5714406443E+00    1.2676119083E-20
  618.214290    1.5702313375E+00    1.2666364138E-20
  618.264360    1.5687718163E+00    1.2654590824E-20
  618.314430    1.5670693985E+00    1.2640858170E-20
  618.364500    1.5651318747E+00    1.2625229019E-20
  618.414570    1.5629674689E+00    1.2607769711E-20
  618.464640    1.5605847987E+00    1.2588549761E-20
  618.514710    1.5579928356E+00    1.2567641537E-20
  618.564780    1.5552008627E+00    1.2545119922E-20
  618.614850    1.5522184333E+00    1.2521061979E-20
  618.664920    1.5490553288E+00    1.2495546609E-20
  618.714990    1.5457215167E+00    1.2468654216E-20
  618.765060    1.5422271091E+00    1.2440466370E-20
  618.815130    1.5385823229E+00    1.2411065486E-20
  618.865200    1.5347974408E+00    1.2380534511E-20
  618.915270    1.5308827683E+00    1.2348956573E-20
  618.965340    1.5268486052E+00    1.2316414757E-20
  619.015410    1.5227052045E+00    1.2282991770E-20
  619.065480    1.5184628590E+00    1.2248770638E-20
  619.115550    1.5141314010E+00    1.2213830676E-20
  619.165620    1.5097208765E+00    1.2178252919E-20
  619.215690    1.5052410496E+00    1.2142116130E-20
  619.265760    1.5007014968E+00    1.2105497558E-20
  619.315830    1.4961115791E+00    1.2068472715E-20
  619.365900    1.4914804306E+00    1.2031115281E-20
  619.415970    1.4868169351E+00    1.1993496918E-20
  619.466040    1.4821297117E+00    1.1955687153E-20
  619.516110    1.4774271027E+00    1.1917753278E-20
  619.566180    1.4727171613E+00    1.1879760257E-20
  619.616250    1.4680076410E+00    1.1841770632E-20
  619.666320    1.4633059926E+00    1.1803844507E-20
  619.716390    1.4586193555E+00    1.1766039471E-20
  619.766460    1.4539545549E+00    1.1728410580E-20
  619.816530    1.4493180999E+00    1.1691010342E-20
  619.866600    1.4447161833E+00    1.1653888708E-20
  619.916670    1.4401546816E+00    1.1617093085E-20
  619.966740    1.4356391583E+00    1.1580668348E-20
  620.016810    1.4311748660E+00    1.1544656870E-20
  620.066880    1.4267667526E+00    1.1509098562E-20
  620.116950    1.4224194646E+00    1.1474030906E-20
  620.167020    1.4181373549E+00    1.1439489014E-20
  620.217090    1.4139244880E+00    1.1405505673E-20
  620.267160    1.4097846494E+00    1.1372111420E-20
  620.317230    1.4057213524E+00    1.1339334594E-20
  620.367300    1.4017378471E+00    1.1307201412E-20
  620.417370    1.3978371286E+00    1.1275736035E-20
  620.467440    1.3940219467E+00    1.1244960645E-20
  620.517510    1.3902948152E+00    1.1214895518E-20
  620.567580    1.3866580210E+00    1.1185559102E-20
  620.617650    1.3831136336E+00    1.1156968091E-20
  620.667720    1.3796635151E+00    1.1129137505E-20
  620.717790    1.3763093865E+00    1.1102081229E-20
