,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
2998,3490.67,3.37364,0.0,0.0,0.0,0.0,5.77748,-2.40384,0.0533974
2999,3491.64,3.37434,0.0,0.0,0.0,0.0,5.78168,-2.40735,0.0530025
3000,3492.6,3.36604,0.0,0.0,0.0,0.0,5.78589,-2.41985,0.0520969
3001,3493.57,3.35062,0.0,0.0,0.0,0.0,5.7901,-2.43948,0.0522189
3002,3494.53,3.34615,0.0,0.0,0.0,0.0,5.79431,-2.44816,0.0570759
3003,3495.49,3.34617,0.0,0.0,0.0,0.0,5.79851,-2.45234,0.0643078
3004,3496.46,3.35093,0.0,0.0,0.0,0.0,5.80272,-2.4518,0.0695436
3005,3497.42,3.35248,0.0,0.0,0.0,0.0,5.80693,-2.45445,0.0626576
3006,3498.39,3.3397,0.0,0.0,0.0,0.0,5.81114,-2.47144,0.0541204
3007,3499.35,3.33037,0.0,0.0,0.0,0.0,5.81534,-2.48498,0.0554202
3008,3500.32,3.33079,0.0,0.0,0.0,0.0,5.81955,-2.48876,0.0591443
3009,3501.28,3.31007,0.0,0.0,0.0,0.0,5.82376,-2.51369,0.0686396
3010,3502.24,3.27014,0.0,0.0,0.0,0.0,5.82797,-2.55783,0.0886887
3011,3503.21,3.2937,0.0,0.0,0.0,0.0,5.83218,-2.53848,0.10629
3012,3504.17,3.34082,0.0,0.0,0.0,0.0,5.83638,-2.49557,0.0949709
3013,3505.14,3.32978,0.0,0.0,0.0,0.0,5.84059,-2.51081,0.0735705
3014,3506.1,3.31647,0.0,0.0,0.0,0.0,5.8448,-2.52832,0.0596378
3015,3507.06,3.29735,0.0,0.0,0.0,0.0,5.849,-2.55165,0.0542119
3016,3508.03,3.2743,0.0,0.0,0.0,0.0,5.85321,-2.57891,0.0606429
3017,3508.99,3.26358,0.0,0.0,0.0,0.0,5.85742,-2.59384,0.0865088
3018,3509.96,3.30094,0.0,0.0,0.0,0.0,5.86163,-2.56069,0.0914792
3019,3510.92,3.29723,0.0,0.0,0.0,0.0,5.86584,-2.56861,0.0703363
3020,3511.89,3.291,0.0,0.0,0.0,0.0,5.87004,-2.57905,0.0625681
3021,3512.85,3.27747,0.0,0.0,0.0,0.0,5.87425,-2.59678,0.0580897
3022,3513.81,3.27,0.0,0.0,0.0,0.0,5.87846,-2.60846,0.0551843
3023,3514.78,3.27076,0.0,0.0,0.0,0.0,5.88267,-2.61191,0.0523952
3024,3515.74,3.27651,0.0,0.0,0.0,0.0,5.88688,-2.61036,0.0515046
3025,3516.71,3.26988,0.0,0.0,0.0,0.0,5.89108,-2.6212,0.0531234
3026,3517.67,3.26037,0.0,0.0,0.0,0.0,5.89529,-2.63492,0.0572907
3027,3518.64,3.25546,0.0,0.0,0.0,0.0,5.8995,-2.64404,0.0619715
3028,3519.6,3.26648,0.0,0.0,0.0,0.0,5.90371,-2.63722,0.0620143
3029,3520.56,3.25855,0.0,0.0,0.0,0.0,5.90791,-2.64936,0.0564516
3030,3521.53,3.23399,0.0,0.0,0.0,0.0,5.91212,-2.67814,0.0635343
3031,3522.49,3.208,0.0,0.0,0.0,0.0,5.91633,-2.70833,0.0913796
3032,3523.46,3.2356,0.0,0.0,0.0,0.0,5.92054,-2.68494,0.106419
3033,3524.42,3.23318,0.0,0.0,0.0,0.0,5.92474,-2.69156,0.090459
3034,3525.39,3.21684,0.0,0.0,0.0,0.0,5.92895,-2.71211,0.0818152
3035,3526.35,3.19411,0.0,0.0,0.0,0.0,5.93316,-2.73905,0.0890637
3036,3527.31,3.20573,0.0,0.0,0.0,0.0,5.93737,-2.73163,0.10294
3037,3528.28,3.20603,0.0,0.0,0.0,0.0,5.94158,-2.73554,0.102052
3038,3529.24,3.22919,0.0,0.0,0.0,0.0,5.94578,-2.7166,0.0951032
3039,3530.21,3.21993,0.0,0.0,0.0,0.0,5.94999,-2.73006,0.0784684
3040,3531.17,3.20328,0.0,0.0,0.0,0.0,5.9542,-2.75091,0.0710202
3041,3532.14,3.19994,0.0,0.0,0.0,0.0,5.95841,-2.75847,0.0597985
3042,3533.1,3.18763,0.0,0.0,0.0,0.0,5.96261,-2.77498,0.0526148
3043,3534.06,3.17443,0.0,0.0,0.0,0.0,5.96682,-2.79239,0.0516792
3044,3535.03,3.15278,0.0,0.0,0.0,0.0,5.97103,-2.81825,0.0584854
3045,3535.99,3.15536,0.0,0.0,0.0,0.0,5.97524,-2.81988,0.0799935
3046,3536.96,3.19224,0.0,0.0,0.0,0.0,5.97944,-2.7872,0.0816165
3047,3537.92,3.16892,0.0,0.0,0.0,0.0,5.98365,-2.81473,0.0588906
3048,3538.89,3.15683,0.0,0.0,0.0,0.0,5.98786,-2.83102,0.0539524
3049,3539.85,3.15601,0.0,0.0,0.0,0.0,5.99207,-2.83606,0.0537877
3050,3540.81,3.15509,0.0,0.0,0.0,0.0,5.99627,-2.84118,0.0543481
3051,3541.78,3.13275,0.0,0.0,0.0,0.0,6.00048,-2.86773,0.0563844
3052,3542.74,3.11863,0.0,0.0,0.0,0.0,6.00469,-2.88606,0.0722723
3053,3543.71,3.10666,0.0,0.0,0.0,0.0,6.0089,-2.90224,0.0897815
3054,3544.67,3.09669,0.0,0.0,0.0,0.0,6.01311,-2.91641,0.11576
3055,3545.64,3.11658,0.0,0.0,0.0,0.0,6.01731,-2.90073,0.123986
3056,3546.6,3.11329,0.0,0.0,0.0,0.0,6.02152,-2.90823,0.122276
3057,3547.56,3.17001,0.0,0.0,0.0,0.0,6.02573,-2.85572,0.116138
3058,3548.53,3.15248,0.0,0.0,0.0,0.0,6.02994,-2.87746,0.0836504
3059,3549.49,3.10394,0.0,0.0,0.0,0.0,6.03415,-2.93021,0.0644055
3060,3550.46,3.07678,0.0,0.0,0.0,0.0,6.03835,-2.96158,0.0639354
3061,3551.42,3.04284,0.0,0.0,0.0,0.0,6.04256,-2.99972,0.0916703
3062,3552.39,3.09085,0.0,0.0,0.0,0.0,6.04677,-2.95592,0.118563
