,wavenumber,experimental,"CO2 ν2a, phase I"
636,1213.06,3.08456,0.0
637,1214.02,3.08775,0.0
638,1214.98,3.09297,0.0
639,1215.95,3.09895,0.0
640,1216.91,3.10496,0.0
641,1217.88,3.11248,0.0
642,1218.84,3.1248,0.0
643,1219.81,3.13156,0.0
644,1220.77,3.13616,0.0
645,1221.73,3.14348,0.0
646,1222.7,3.15152,0.0
647,1223.66,3.1552,0.0
648,1224.63,3.1626,0.0
649,1225.59,3.17507,0.0
650,1226.56,3.18848,0.0
651,1227.52,3.19639,0.0
652,1228.48,3.20232,0.0
653,1229.45,3.21017,0.0
654,1230.41,3.21976,0.0
655,1231.38,3.22966,0.0
656,1232.34,3.23633,0.0
657,1233.31,3.24771,0.0
658,1234.27,3.26145,0.0
659,1235.23,3.27057,0.0
660,1236.2,3.27885,0.0
661,1237.16,3.28433,0.0
662,1238.13,3.2939,0.0
663,1239.09,3.301,0.0
664,1240.06,3.31074,0.0
665,1241.02,3.31574,0.0
666,1241.98,3.32222,0.0
667,1242.95,3.33157,0.0
668,1243.91,3.34246,0.0
669,1244.88,3.3471,0.0
670,1245.84,3.34666,0.0
671,1246.81,3.35338,0.0
672,1247.77,3.35722,0.0
673,1248.73,3.3562,0.0
674,1249.7,3.35962,0.0
675,1250.66,3.36079,0.0
676,1251.63,3.36354,0.0
677,1252.59,3.36349,0.0
678,1253.56,3.36568,0.0
679,1254.52,3.35698,0.0
680,1255.48,3.35646,0.0
681,1256.45,3.35746,0.0
682,1257.41,3.35546,0.0
683,1258.38,3.3566,0.0
684,1259.34,3.34936,0.0
685,1260.31,3.35738,0.0
686,1261.27,3.37297,0.0
687,1262.23,3.38158,0.0
688,1263.2,3.38965,0.0
689,1264.16,3.40482,0.0
690,1265.13,3.41223,0.0
691,1266.09,3.42437,0.0
692,1267.06,3.43281,0.0
693,1268.02,3.44121,0.0
694,1268.98,3.44713,0.0
695,1269.95,3.44884,0.0
696,1270.91,3.44836,0.0
697,1271.88,3.45252,0.0
698,1272.84,3.46317,0.0
699,1273.81,3.46943,0.0
700,1274.77,3.4733,0.0
701,1275.73,3.47272,0.0
702,1276.7,3.47598,0.0
703,1277.66,3.48006,0.0
704,1278.63,3.48517,0.0
705,1279.59,3.48779,0.0
706,1280.56,3.49124,0.0
707,1281.52,3.49316,0.0
708,1282.48,3.49855,0.0
709,1283.45,3.50301,0.0
710,1284.41,3.50692,0.0
711,1285.38,3.50882,0.0
712,1286.34,3.51132,0.0
713,1287.31,3.51624,0.0
714,1288.27,3.52258,0.0
715,1289.23,3.52555,0.0
716,1290.2,3.52704,0.0
717,1291.16,3.52641,0.0
718,1292.13,3.53147,0.0
719,1293.09,3.5304,0.0
720,1294.06,3.53107,0.0
721,1295.02,3.52908,0.0
722,1295.98,3.52737,0.0
723,1296.95,3.52786,0.0
724,1297.91,3.53014,0.0
725,1298.88,3.53192,0.0
726,1299.84,3.5327,0.0
727,1300.81,3.53273,0.0
728,1301.77,3.53439,0.0
729,1302.73,3.52982,0.0
730,1303.7,3.52912,0.0
731,1304.66,3.531,0.0
732,1305.63,3.5326,0.0
733,1306.59,3.52789,0.0
734,1307.56,3.52713,0.0
735,1308.52,3.52949,0.0
736,1309.48,3.52831,0.0
737,1310.45,3.52486,0.0
738,1311.41,3.51784,0.0
739,1312.38,3.51386,0.0
740,1313.34,3.51915,0.0
741,1314.31,3.51926,0.0
742,1315.27,3.51611,0.0
743,1316.23,3.504,0.0
744,1317.2,3.50531,0.0
745,1318.16,3.49584,0.0
