,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
3069,3559.14,3.071,0.0,0.0,0.0,0.0,5.96625,-2.89526,0.0682507
3070,3560.1,3.08556,0.0,0.0,0.0,0.0,5.97042,-2.88485,0.0911466
3071,3561.06,3.10958,0.0,0.0,0.0,0.0,5.97458,-2.865,0.0854966
3072,3562.03,3.12156,0.0,0.0,0.0,0.0,5.97874,-2.85718,0.0806291
3073,3562.99,3.10823,0.0,0.0,0.0,0.0,5.9829,-2.87467,0.097025
3074,3563.96,3.11211,0.0,0.0,0.0,0.0,5.98706,-2.87496,0.108556
3075,3564.92,2.94511,0.0,0.0,0.0,0.0,5.99122,-3.04611,0.1257
3076,3565.89,2.88598,0.0,0.0,0.0,0.0,5.99538,-3.1094,0.213113
3077,3566.85,2.99768,0.0,0.0,0.0,0.0,5.99955,-3.00187,0.254828
3078,3567.81,3.10801,0.0,0.0,0.0,0.0,6.00371,-2.8957,0.24056
3079,3568.78,3.22392,0.0,0.0,0.0,0.0,6.00787,-2.78395,0.183431
3080,3569.74,3.08867,0.0,0.0,0.0,0.0,6.01203,-2.92335,0.100512
3081,3570.71,3.07579,0.0,0.0,0.0,0.0,6.01619,-2.94041,0.0802939
3082,3571.67,3.08182,0.0,0.0,0.0,0.0,6.02035,-2.93854,0.0672122
3083,3572.64,3.02885,0.0,0.0,0.0,0.0,6.02451,-2.99566,0.062353
3084,3573.6,3.01037,0.0,0.0,0.0,0.0,6.02867,-3.01831,0.0718607
3085,3574.56,3.05683,0.0,0.0,0.0,0.0,6.03284,-2.97601,0.082568
3086,3575.53,3.04574,0.0,0.0,0.0,0.0,6.037,-2.99126,0.0768965
3087,3576.49,3.00817,0.0,0.0,0.0,0.0,6.04116,-3.03299,0.078944
3088,3577.46,3.05147,0.0,0.0,0.0,0.0,6.04532,-2.99385,0.0834717
3089,3578.42,3.02303,0.0,0.0,0.0,0.0,6.04948,-3.02646,0.0731867
3090,3579.39,2.98879,0.0,0.0,0.0,0.0,6.05364,-3.06485,0.0842138
3091,3580.35,3.02819,0.0,0.0,0.0,0.0,6.0578,-3.02961,0.0896622
3092,3581.31,3.01589,0.0,0.0,0.0,0.0,6.06197,-3.04608,0.0748954
3093,3582.28,2.98083,0.0,0.0,0.0,0.0,6.06613,-3.0853,0.0748768
3094,3583.24,3.00599,0.0,0.0,0.0,0.0,6.07029,-3.0643,0.0913486
3095,3584.21,3.02873,0.0,0.0,0.0,0.0,6.07445,-3.04573,0.0929984
3096,3585.17,2.84176,0.0,0.0,0.0,0.0,6.07861,-3.23685,0.102391
3097,3586.14,2.76375,0.0,0.0,0.0,0.0,6.08278,-3.31902,0.180711
3098,3587.1,2.94153,0.0,0.0,0.0,0.0,6.08694,-3.14541,0.248068
3099,3588.06,2.89893,0.0,0.0,0.0,0.0,6.0911,-3.19217,0.230072
3100,3589.03,3.05437,0.0,0.0,0.0,0.0,6.09526,-3.04089,0.197682
3101,3589.99,3.01032,0.0,0.0,0.0,0.0,6.09942,-3.0891,0.121639
3102,3590.96,2.92962,0.0,0.0,0.0,0.0,6.10358,-3.17396,0.090652
3103,3591.92,2.87333,0.0,0.0,0.0,0.0,6.10775,-3.23442,0.0956701
3104,3592.89,2.88122,0.0,0.0,0.0,0.0,6.11191,-3.23069,0.140884
3105,3593.85,2.9848,0.0,0.0,0.0,0.0,6.11607,-3.13126,0.151524
3106,3594.81,2.90417,0.0,0.0,0.0,0.0,6.12023,-3.21605,0.162355
3107,3595.78,2.98003,0.0,0.0,0.0,0.0,6.12439,-3.14436,0.179236
3108,3596.74,2.95966,0.0,0.0,0.0,0.0,6.12855,-3.16889,0.135378
3109,3597.71,2.89154,0.0,0.0,0.0,0.0,6.13271,-3.24117,0.126837
3110,3598.67,2.90095,0.0,0.0,0.0,0.0,6.13688,-3.23593,0.143115
3111,3599.64,2.84069,0.0,0.0,0.0,0.0,6.14104,-3.30035,0.142046
3112,3600.6,2.80764,0.0,0.0,0.0,0.0,6.1452,-3.33755,0.162973
3113,3601.56,2.90677,0.0,0.0,0.0,0.0,6.14936,-3.24258,0.149985
3114,3602.53,2.90909,0.0,0.0,0.0,0.0,6.15352,-3.24444,0.11936
3115,3603.49,2.91027,0.0,0.0,0.0,0.0,6.15768,-3.24741,0.103549
3116,3604.46,2.92016,0.0,0.0,0.0,0.0,6.16184,-3.24168,0.0913444
3117,3605.42,2.8562,0.0,0.0,0.0,0.0,6.166,-3.3098,0.0950905
3118,3606.39,2.76098,0.0,0.0,0.0,0.0,6.17017,-3.40918,0.148665
3119,3607.35,2.87508,0.0,0.0,0.0,0.0,6.17433,-3.29925,0.197807
3120,3608.31,2.6439,0.0,0.0,0.0,0.0,6.17849,-3.53459,0.179679
3121,3609.28,2.79432,0.0,0.0,0.0,0.0,6.18265,-3.38833,0.206131
3122,3610.24,3.08433,0.0,0.0,0.0,0.0,6.18681,-3.10248,0.149658
3123,3611.21,2.78976,0.0,0.0,0.0,0.0,6.19097,-3.40121,0.10621
3124,3612.17,2.67464,0.0,0.0,0.0,0.0,6.19513,-3.5205,0.175858
3125,3613.14,2.92327,0.0,0.0,0.0,0.0,6.1993,-3.27602,0.208643
3126,3614.1,2.87951,0.0,0.0,0.0,0.0,6.20346,-3.32395,0.181708
3127,3615.06,2.91831,0.0,0.0,0.0,0.0,6.20762,-3.28931,0.179611
3128,3616.03,2.88684,0.0,0.0,0.0,0.0,6.21178,-3.32494,0.130643
3129,3616.99,2.68149,0.0,0.0,0.0,0.0,6.21594,-3.53445,0.153168
3130,3617.96,2.70374,0.0,0.0,0.0,0.0,6.2201,-3.51637,0.225033
3131,3618.92,2.59433,0.0,0.0,0.0,0.0,6.22426,-3.62994,0.234333
3132,3619.89,2.88107,0.0,0.0,0.0,0.0,6.22843,-3.34736,0.246699
3133,3620.85,3.01053,0.0,0.0,0.0,0.0,6.23259,-3.22206,0.197354
3134,3621.81,2.85109,0.0,0.0,0.0,0.0,6.23675,-3.38566,0.143053
3135,3622.78,2.84039,0.0,0.0,0.0,0.0,6.24091,-3.40052,0.117069
3136,3623.74,2.79897,0.0,0.0,0.0,0.0,6.24507,-3.4461,0.111757
3137,3624.71,2.71919,0.0,0.0,0.0,0.0,6.24923,-3.53005,0.111146
3138,3625.67,2.67405,0.0,0.0,0.0,0.0,6.2534,-3.57934,0.140613
3139,3626.64,2.63316,0.0,0.0,0.0,0.0,6.25756,-3.6244,0.165257
3140,3627.6,2.28303,0.0,0.0,0.0,0.0,6.26172,-3.97869,0.214619
3141,3628.56,2.34622,0.0,0.0,0.0,0.0,6.26588,-3.91966,0.379557
3142,3629.53,2.86934,0.0,0.0,0.0,0.0,6.27004,-3.4007,0.419621
3143,3630.49,3.08755,0.0,0.0,0.0,0.0,6.27421,-3.18665,0.255755
3144,3631.46,2.88153,0.0,0.0,0.0,0.0,6.27837,-3.39684,0.145952
3145,3632.42,2.6564,0.0,0.0,0.0,0.0,6.28253,-3.62613,0.116753
3146,3633.39,2.5948,0.0,0.0,0.0,0.0,6.28669,-3.69189,0.158668
3147,3634.35,2.77168,0.0,0.0,0.0,0.0,6.29085,-3.51918,0.164013
3148,3635.31,2.74054,0.0,0.0,0.0,0.0,6.29501,-3.55447,0.104262
3149,3636.28,2.70229,0.0,0.0,0.0,0.0,6.29917,-3.59688,0.0814062
3150,3637.24,2.63921,0.0,0.0,0.0,0.0,6.30333,-3.66412,0.0924328
3151,3638.21,2.65223,0.0,0.0,0.0,0.0,6.3075,-3.65527,0.10708
3152,3639.17,2.69634,0.0,0.0,0.0,0.0,6.31166,-3.61532,0.0884753
3153,3640.13,2.65412,0.0,0.0,0.0,0.0,6.31582,-3.6617,0.0740292
3154,3641.1,2.60337,0.0,0.0,0.0,0.0,6.31998,-3.71661,0.0803642
3155,3642.06,2.6069,0.0,0.0,0.0,0.0,6.32414,-3.71724,0.100664
3156,3643.03,2.64397,0.0,0.0,0.0,0.0,6.3283,-3.68433,0.0974046
3157,3643.99,2.62132,0.0,0.0,0.0,0.0,6.33246,-3.71114,0.076406
3158,3644.96,2.58418,0.0,0.0,0.0,0.0,6.33663,-3.75245,0.0847271
3159,3645.92,2.34462,0.0,0.0,0.0,0.0,6.34079,-3.99616,0.147515
3160,3646.88,2.40075,0.0,0.0,0.0,0.0,6.34495,-3.9442,0.288329
3161,3647.85,2.51133,0.0,0.0,0.0,0.0,6.34911,-3.83778,0.328195
3162,3648.81,2.33577,0.0,0.0,0.0,0.0,6.35327,-4.0175,0.30965
3163,3649.78,2.51118,0.0,0.0,0.0,0.0,6.35743,-3.84626,0.367442
3164,3650.74,2.59826,0.0,0.0,0.0,0.0,6.36159,-3.76334,0.375082
3165,3651.71,2.84278,0.0,0.0,0.0,0.0,6.36576,-3.52298,0.25634
3166,3652.67,2.76879,0.0,0.0,0.0,0.0,6.36992,-3.60112,0.119714
3167,3653.63,2.64855,0.0,0.0,0.0,0.0,6.37408,-3.72553,0.0754904
3168,3654.6,2.50287,0.0,0.0,0.0,0.0,6.37824,-3.87537,0.0765118
3169,3655.56,2.24712,0.0,0.0,0.0,0.0,6.3824,-4.13529,0.144543
3170,3656.53,2.61035,0.0,0.0,0.0,0.0,6.38656,-3.77621,0.218618
3171,3657.49,2.77976,0.0,0.0,0.0,0.0,6.39072,-3.61096,0.132248
3172,3658.46,2.59045,0.0,0.0,0.0,0.0,6.39489,-3.80443,0.0693458
3173,3659.42,2.57327,0.0,0.0,0.0,0.0,6.39905,-3.82578,0.0678874
3174,3660.38,2.57859,0.0,0.0,0.0,0.0,6.40321,-3.82462,0.0682806
3175,3661.35,2.57617,0.0,0.0,0.0,0.0,6.40737,-3.8312,0.0603196
3176,3662.31,2.54094,0.0,0.0,0.0,0.0,6.41153,-3.87059,0.0554491
3177,3663.28,2.54682,0.0,0.0,0.0,0.0,6.41569,-3.86888,0.0554911
3178,3664.24,2.55564,0.0,0.0,0.0,0.0,6.41985,-3.86421,0.0556939
3179,3665.21,2.57539,0.0,0.0,0.0,0.0,6.42402,-3.84863,0.0590006
3180,3666.17,2.56218,0.0,0.0,0.0,0.0,6.42818,-3.866,0.0626225
3181,3667.13,2.38075,0.0,0.0,0.0,0.0,6.43234,-4.05159,0.0755723
3182,3668.1,2.20149,0.0,0.0,0.0,0.0,6.4365,-4.23501,0.145739
3183,3669.06,2.28395,0.0,0.0,0.0,0.0,6.44066,-4.15672,0.243843
